"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2019","1,213.10","1,213.49","1,214.62","1,206.73","","-1.69%"
"10/02/2019","1,233.94","1,229.92","1,234.49","1,229.46","","-0.49%"
"10/01/2019","1,239.97","1,234.68","1,244.01","1,234.68","","0.92%"
"09/30/2019","1,228.67","1,233.20","1,235.28","1,224.98","","-1.05%"
"09/27/2019","1,241.68","1,247.23","1,248.45","1,231.21","","-1.16%"
"09/26/2019","1,256.23","1,264.86","1,266.43","1,252.82","","0.16%"
"09/25/2019","1,254.18","1,249.92","1,255.44","1,247.51","","-0.19%"
"09/24/2019","1,256.56","1,253.01","1,261.05","1,252.95","","0.41%"
"09/20/2019","1,251.46","1,256.60","1,258.86","1,249.21","","0.00%"
"09/19/2019","1,251.46","1,251.10","1,260.41","1,248.95","","0.48%"
"09/18/2019","1,245.48","1,250.36","1,251.01","1,242.34","","-0.49%"
"09/17/2019","1,251.63","1,244.65","1,255.22","1,241.77","","0.28%"
"09/13/2019","1,248.16","1,242.02","1,249.07","1,235.15","","0.95%"
"09/12/2019","1,236.38","1,234.13","1,240.44","1,230.89","","0.77%"
"09/11/2019","1,226.96","1,211.79","1,226.96","1,211.48","","1.67%"
"09/10/2019","1,206.85","1,205.43","1,209.56","1,204.49","","0.47%"
"09/09/2019","1,201.22","1,191.50","1,201.22","1,191.22","","0.90%"
"09/06/2019","1,190.49","1,192.96","1,194.01","1,189.33","","0.23%"
"09/05/2019","1,187.77","1,173.67","1,192.69","1,173.32","","1.80%"
"09/04/2019","1,166.73","1,165.45","1,169.69","1,162.08","","-0.21%"
"09/03/2019","1,169.15","1,163.17","1,171.69","1,163.12","","0.34%"
"09/02/2019","1,165.20","1,165.36","1,168.03","1,164.52","","-0.38%"
"08/30/2019","1,169.61","1,163.62","1,170.06","1,161.98","","1.36%"
"08/29/2019","1,153.95","1,155.22","1,156.29","1,147.54","","0.01%"
"08/28/2019","1,153.86","1,152.80","1,155.55","1,151.79","","0.10%"
"08/27/2019","1,152.71","1,154.33","1,156.67","1,151.58","","0.77%"
"08/26/2019","1,143.90","1,140.26","1,145.76","1,133.19","","-1.56%"
"08/23/2019","1,162.05","1,157.52","1,162.91","1,157.52","","0.28%"
"08/22/2019","1,158.84","1,161.13","1,162.17","1,156.04","","0.08%"
"08/21/2019","1,157.95","1,153.13","1,158.29","1,152.61","","-0.57%"
"08/20/2019","1,164.59","1,158.68","1,164.60","1,157.92","","0.78%"
"08/19/2019","1,155.56","1,156.89","1,158.72","1,152.18","","0.61%"
"08/16/2019","1,148.55","1,142.73","1,150.84","1,141.19","","0.09%"
"08/15/2019","1,147.48","1,139.74","1,147.48","1,133.64","","-1.02%"
"08/14/2019","1,159.34","1,161.38","1,161.63","1,155.16","","0.82%"
"08/13/2019","1,149.92","1,152.39","1,155.97","1,146.25","","-1.13%"
"08/09/2019","1,163.06","1,167.33","1,168.75","1,162.58","","0.36%"
"08/08/2019","1,158.89","1,158.18","1,163.76","1,154.28","","-0.11%"
"08/07/2019","1,160.22","1,157.72","1,162.80","1,153.55","","0.05%"
"08/06/2019","1,159.68","1,142.62","1,160.63","1,131.36","","-0.43%"
"08/05/2019","1,164.72","1,173.87","1,176.12","1,152.48","","-1.78%"
"08/02/2019","1,185.80","1,193.75","1,194.18","1,180.01","","-2.09%"
"08/01/2019","1,211.17","1,202.16","1,212.20","1,199.92","","0.17%"
"07/31/2019","1,209.08","1,207.22","1,213.04","1,206.69","","-0.65%"
"07/30/2019","1,217.05","1,215.24","1,220.42","1,213.28","","0.41%"
"07/29/2019","1,212.08","1,212.81","1,214.24","1,207.80","","-0.21%"
"07/26/2019","1,214.63","1,215.07","1,216.90","1,209.36","","-0.39%"
"07/25/2019","1,219.34","1,219.33","1,222.18","1,217.94","","0.12%"
"07/24/2019","1,217.93","1,218.83","1,218.83","1,214.45","","0.43%"
"07/23/2019","1,212.75","1,202.58","1,215.96","1,200.71","","0.78%"
"07/22/2019","1,203.32","1,205.37","1,207.49","1,201.74","","-0.50%"
"07/19/2019","1,209.35","1,190.24","1,211.02","1,189.13","","1.91%"
"07/18/2019","1,186.74","1,204.07","1,204.98","1,184.19","","-2.05%"
"07/17/2019","1,211.56","1,208.48","1,214.19","1,206.21","","-0.04%"
"07/16/2019","1,212.08","1,214.75","1,216.62","1,209.70","","-0.50%"
"07/12/2019","1,218.22","1,222.54","1,222.54","1,214.85","","-0.11%"
"07/11/2019","1,219.56","1,215.07","1,220.93","1,214.18","","0.41%"
"07/10/2019","1,214.55","1,212.26","1,217.27","1,210.03","","-0.24%"
"07/09/2019","1,217.47","1,222.47","1,226.55","1,214.63","","-0.17%"
"07/08/2019","1,219.51","1,227.01","1,227.36","1,218.07","","-0.87%"
"07/05/2019","1,230.24","1,228.55","1,231.08","1,226.64","","0.17%"
"07/04/2019","1,228.11","1,225.83","1,228.24","1,224.72","","0.62%"
"07/03/2019","1,220.54","1,223.52","1,223.66","1,215.55","","-0.70%"
"07/02/2019","1,229.15","1,225.80","1,229.91","1,224.93","","0.27%"
"07/01/2019","1,225.82","1,217.17","1,226.28","1,213.85","","2.13%"
"06/28/2019","1,200.28","1,199.91","1,202.91","1,194.88","","-0.14%"
"06/27/2019","1,201.91","1,190.44","1,201.91","1,189.27","","1.21%"
"06/26/2019","1,187.59","1,187.39","1,191.24","1,185.63","","-0.54%"
